"Prognose bevolking; geslacht en leeftijd, 2017-2060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onderwerpen,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking
,Perioden,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Geslacht,Leeftijd,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal
Totaal mannen en vrouwen,48 jaar,254721,265614,259537,248565,236846,218872,211177,202046,200362,198165,200457,199752,205692,202587,197372,195965,200436,203476,208449,209640,209016,210944,218321,219454,218834,219301,222162,217147,217035,218329,222417,222875,227073,223899,222384,221481,215307,209855,208165,205089,208376,208360,207727,203650
Totaal mannen en vrouwen,49 jaar,252065,254407,265096,258951,247975,236243,218252,210575,201491,199822,197626,199922,199215,205138,202040,196816,195407,199858,202892,207864,209062,208433,210350,217710,218855,218243,218724,221587,216580,216468,217764,221840,222298,226491,223327,221815,220913,214750,209308,207621,204553,207833,207817,207185
Totaal mannen en vrouwen,50 jaar,253429,251654,253788,264391,258210,247245,235504,217557,209910,200873,199222,197030,199328,198624,204527,201434,196207,194798,199232,202260,207232,208433,207801,209707,217057,218207,217607,218099,220966,215968,215856,217157,221222,221683,225869,222712,221204,220307,214158,208723,207037,203976,207251,207235
Totaal mannen en vrouwen,51 jaar,257121,252911,250977,253028,263568,257359,246406,234702,216816,209200,200204,198576,196390,198687,197982,203861,200785,195554,194144,198559,201584,206551,207756,207118,209013,216349,217506,216915,217422,220292,215304,215194,216502,220556,221013,225195,222051,220545,219654,213513,208089,206407,203356,206623
Totaal mannen en vrouwen,52 jaar,261732,256452,252121,250153,252140,262624,256389,245496,233837,216021,208437,199487,197883,195704,197993,197285,203153,200084,194853,193445,197843,200862,205822,207031,206387,208274,215597,216758,216179,216705,219578,214600,214490,215803,219845,220303,224477,221344,219845,218959,212830,207416,205740,202698
Totaal mannen en vrouwen,53 jaar,257005,260937,255531,251191,249216,251149,261580,255357,244532,232925,215184,207636,198733,197154,194979,197264,196558,202409,199357,194125,192719,197101,200111,205066,206281,205638,207516,214823,215991,215425,215969,218843,213878,213772,215093,219124,219582,223752,220632,219138,218257,212142,206738,205066
Totaal mannen en vrouwen,54 jaar,252065,256142,259894,254473,250151,248179,250059,260470,254271,243517,231964,214299,206786,197929,196369,194205,196483,195784,201617,198575,193347,191948,196310,199316,204270,205487,204844,206717,214006,215182,214630,215188,218069,213114,213012,214338,218355,218815,222980,219873,218387,217508,211413,206016
Totaal mannen en vrouwen,55 jaar,249305,251132,255075,258749,253344,249044,247083,248938,259328,253158,242471,230975,213391,205918,197104,195566,193411,195685,194994,200806,197779,192555,191163,195509,198512,203458,204684,204041,205911,213182,214368,213827,214400,217282,212340,212245,213574,217581,218041,222204,219108,217629,216753,210675
Totaal mannen en vrouwen,56 jaar,242294,248329,250027,253923,257543,252160,247887,245960,247799,258172,252030,241412,229976,212475,205040,196273,194755,192613,194883,194205,200000,196988,191773,190387,194718,197719,202660,203895,203255,205125,212378,213573,213043,213629,216517,211590,211501,212834,216830,217293,221454,218370,216896,216026
Totaal mannen en vrouwen,57 jaar,239727,241178,247142,248791,252663,256240,250880,246651,244762,246592,256940,250834,240288,228913,211496,204099,195383,193884,191755,194027,193355,199136,196139,190939,189559,193878,196876,201810,203055,202419,204289,211527,212731,212213,212818,215706,210797,210709,212051,216037,216500,220660,217591,216120
Totaal mannen en vrouwen,58 jaar,232881,238543,239874,245830,247446,251296,254836,249518,245340,243494,245315,255640,249571,239097,227789,210452,203098,194431,192956,190839,193109,192451,198216,195241,190053,188684,192986,195982,200913,202168,201540,203405,210629,211843,211339,211959,214854,209960,209878,211226,215204,215670,219828,216772
Totaal mannen en vrouwen,59 jaar,227360,231630,237189,238467,244429,246024,249858,253378,248112,243989,242183,243999,254299,248273,237870,226631,209386,202073,193464,192011,189909,192180,191532,197286,194334,189165,187808,192096,195092,200018,201283,200660,202528,209734,210962,210470,211103,214003,209129,209054,210409,214379,214846,219003
