"Prognose bevolking; geslacht en leeftijd, 2017-2060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onderwerpen,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking
,Perioden,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Geslacht,Leeftijd,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal
Vrouwen,40 jaar,100570,100427,101506,101129,104042,102905,99703,99156,101112,102938,105637,105456,105449,106290,109259,109854,109102,110241,112778,110706,110452,112050,113176,113014,115547,113710,112862,112402,109613,106655,105635,104595,105768,105978,105957,103499,101760,99699,101880,101114,102052,102983,103849,104987
Vrouwen,41 jaar,102038,100895,100636,101594,101195,104079,102954,99755,99198,101136,102940,105608,105407,105382,106205,109158,109752,109003,110162,112715,110644,110397,111996,113110,112945,115474,113641,112794,112335,109546,106593,105574,104534,105706,105917,105894,103441,101703,99646,101822,101080,102016,102941,103806
Vrouwen,42 jaar,106581,102321,101095,100771,101660,101239,104102,102979,99785,99223,101146,102926,105570,105358,105313,106124,109065,109663,108918,110096,112662,110589,110348,111949,113050,112884,115409,113579,112731,112274,109489,106538,105520,104483,105652,105863,105840,103389,101652,99598,101773,101052,101987,102904
Vrouwen,43 jaar,110506,106868,102463,101204,100824,101677,101236,104088,102972,99784,99218,101119,102878,105504,105283,105222,106025,108956,109562,108822,110014,112593,110520,110284,111887,112979,112808,115333,113505,112661,112203,109421,106475,105458,104421,105589,105801,105779,103331,101595,99546,101717,101013,101949
Vrouwen,44 jaar,119663,110707,106966,102495,101212,100779,101625,101180,104025,102917,99736,99160,101039,102781,105395,105171,105103,105897,108824,109435,108698,109908,112496,110423,110190,111796,112881,112707,115232,113408,112565,112108,109328,106384,105370,104334,105500,105716,105691,103248,101513,99465,101636,100949
Vrouwen,45 jaar,124660,119766,110755,106956,102446,101141,100654,101532,101089,103930,102829,99648,99065,100923,102651,105256,105034,104959,105749,108672,109287,108553,109780,112374,110303,110072,111681,112759,112584,115108,113289,112446,111993,109215,106272,105258,104225,105389,105605,105581,103140,101408,99358,101530
Vrouwen,46 jaar,129878,124653,119729,110697,106854,102327,100994,100500,101406,100964,103800,102706,99520,98931,100772,102492,105092,104873,104794,105582,108501,109118,108386,109628,112231,110161,109934,111543,112618,112440,114963,113148,112307,111856,109080,106139,105126,104095,105258,105476,105450,103011,101283,99235
Vrouwen,47 jaar,132276,129841,124542,119610,110559,106674,102143,100821,100320,101248,100806,103639,102544,99355,98760,100586,102299,104902,104690,104606,105390,108304,108923,108192,109449,112059,109989,109767,111380,112448,112267,114789,112977,112137,111687,108914,105976,104965,103935,105098,105316,105288,102853,101126
Vrouwen,48 jaar,126927,132192,129700,124369,119424,110360,106436,101941,100631,100126,101071,100629,103456,102361,99167,98566,100384,102093,104699,104489,104400,105178,108089,108708,107981,109248,111866,109796,109581,111198,112259,112075,114594,112787,111949,111499,108731,105794,104786,103757,104920,105139,105110,102678
Vrouwen,49 jaar,125158,126828,132029,129509,124165,119206,110126,106211,101749,100448,99940,100897,100454,103275,102181,98983,98379,100189,101896,104501,104297,104204,104977,107880,108503,107779,109056,111682,109614,109406,111023,112079,111894,114411,112608,111772,111322,108557,105626,104620,103594,104757,104974,104947
Vrouwen,50 jaar,125922,125036,126640,131809,129269,123920,118947,109884,105979,101546,100254,99745,100708,100267,103081,101984,98787,98185,99988,101692,104296,104097,103999,104766,107665,108289,107572,108857,111489,109424,109223,110839,111890,111706,114220,112420,111585,111137,108378,105450,104446,103421,104583,104803
Vrouwen,51 jaar,127426,125772,124815,126387,131533,128972,123623,118655,109618,105720,101309,100030,99521,100485,100044,102848,101757,98559,97954,99747,101451,104056,103859,103756,104518,107412,108037,107325,108620,111257,109196,108999,110619,111665,111479,113991,112195,111361,110917,108162,105237,104234,103211,104371
Vrouwen,52 jaar,129943,127210,125512,124534,126076,131204,128620,123292,118334,109326,105437,101048,99782,99270,100235,99793,102592,101502,98303,97698,99484,101185,103787,103596,103487,104245,107134,107760,107054,108361,111004,108945,108754,110374,111413,111228,113737,111944,111116,110674,107922,105001,103999,102981
Vrouwen,53 jaar,127701,129669,126891,125188,124201,125718,130827,128241,122938,117994,109016,105139,100771,99519,99004,99969,99528,102319,101234,98036,97432,99211,100907,103509,103322,103210,103965,106846,107476,106775,108093,110740,108685,108499,110121,111155,110971,113476,111689,110863,110423,107677,104759,103760
Vrouwen,54 jaar,125827,127377,129273,126496,124800,123809,125299,130405,127822,122545,117615,108670,104807,100458,99214,98702,99665,99228,102009,100925,97730,97129,98901,100594,103198,103013,102898,103650,106523,107156,106461,107788,110441,108388,108209,109830,110858,110675,113177,111397,110574,110136,107397,104483
Vrouwen,55 jaar,124537,125468,126969,128835,126068,124381,123392,124867,129969,127393,122138,117228,108316,104469,100138,98908,98396,99359,98926,101699,100618,97425,96826,98592,100287,102887,102710,102592,103342,106209,106843,106156,107492,110147,108098,107927,109547,110571,110390,112889,111114,110296,109857,107126
Vrouwen,56 jaar,120974,124168,125051,126539,128386,125634,123960,122982,124449,129548,126977,121749,116855,107978,104145,99835,98616,98107,99070,98644,101410,100333,97144,96547,98308,100005,102603,102432,102315,103064,105925,106563,105879,107225,109883,107840,107674,109295,110317,110134,112635,110863,110049,109613
Vrouwen,57 jaar,119832,120545,123705,124573,126059,127892,125155,123499,122535,123996,129089,126528,121325,116451,107608,103790,99502,98293,97785,98752,98331,101090,100017,96835,96240,97998,99695,102291,102129,102012,102761,105618,106259,105581,106938,109595,107559,107398,109021,110039,109857,112358,110593,109779
Vrouwen,58 jaar,116391,119335,120000,123156,124013,125498,127316,124605,122971,122022,123476,128564,126013,120838,115987,107178,103375,99108,97912,97406,98375,97960,100714,99646,96472,95881,97633,99328,101926,101772,101657,102403,105256,105902,105231,106597,109258,107227,107072,108696,109714,109534,112033,110276
Vrouwen,59 jaar,113922,115860,118762,119408,122569,123420,124905,126720,124039,122428,121495,122944,128024,125485,120339,115512,106740,102953,98711,97528,97025,97996,97586,100338,99278,96112,95526,97273,98968,101567,101419,101305,102052,104902,105553,104887,106261,108926,106902,106752,108379,109396,109217,111714
Vrouwen,60 jaar,111465,113323,115227,118114,118755,121920,122769,124261,126073,123421,121834,120915,122362,127436,124912,119796,114995,106262,102495,98277,97108,96608,97580,97177,99926,98873,95717,95136,96879,98575,101174,101035,100924,101669,104516,105171,104514,105894,108564,106547,106402,108029,109046,108867
Vrouwen,61 jaar,109052,110807,112634,114529,117410,118050,121221,122075,123576,125387,122763,121201,120301,121744,126811,124302,119216,114445,105755,102008,97817,96663,96168,97140,96743,99491,98448,95301,94725,96464,98161,100759,100628,100520,101267,104108,104768,104118,105507,108181,106171,106032,107660,108678
Vrouwen,62 jaar,106520,108364,110085,111909,113807,116687,117327,120510,121370,122880,124689,122098,120558,119677,121120,126182,123690,118638,113896,105251,101526,97362,96223,95734,96709,96321,99066,98032,94897,94328,96065,97760,100361,100239,100136,100883,103722,104387,103743,105141,107819,105816,105685,107315
Vrouwen,63 jaar,104572,105765,107576,109291,111122,113029,115908,116553,119746,120611,122128,123936,121377,119866,119005,120447,125499,123024,118009,113296,104699,100998,96861,95739,95258,96235,95855,98595,97574,94452,93890,95624,97321,99921,99807,99706,100455,103292,103962,103325,104732,107415,105421,105297
Vrouwen,64 jaar,104309,103749,104914,106719,108438,110280,112195,115074,115723,118924,119793,121319,123126,120600,119114,118276,119720,124763,122306,117327,112644,104099,100422,96316,95211,94737,95719,95346,98082,97072,93963,93409,95140,96837,99437,99331,99234,99985,102818,103493,102864,104281,106966,104981
Vrouwen,65 jaar,100031,103414,102838,104001,105812,107542,109396,111321,114199,114852,118059,118931,120466,122275,119783,118326,117511,118956,123989,121553,116610,111961,103470,99820,95746,94658,94194,95179,94816,97546,96550,93455,92909,94637,96333,98933,98836,98743,99496,102326,103005,102384,103809,106497
Vrouwen,66 jaar,100190,99094,102423,101864,103042,104865,106607,108472,110407,113282,113937,117150,118027,119572,121381,118926,117499,116710,118153,123176,120759,115858,111243,102809,99187,95145,94077,93623,94613,94263,96987,96004,92925,92387,94111,95809,98408,98321,98230,98985,101809,102494,101883,103317
Vrouwen,67 jaar,100699,99148,98063,101367,100841,102040,103877,105629,107506,109445,112317,112974,116194,117079,118635,120445,118027,116629,115867,117310,122322,119928,115070,110490,102116,98523,94518,93470,93028,94022,93684,96402,95431,92370,91841,93564,95262,97861,97785,97699,98455,101276,101967,101365
Vrouwen,68 jaar,102841,99578,98029,96986,100282,99795,101016,102864,104625,106509,108454,111323,111985,115215,116107,117676,119490,117109,115743,115009,116453,121452,119083,114271,109728,101416,97853,93885,92860,92430,93430,93105,95817,94859,91818,91298,93019,94721,97320,97257,97175,97934,100754,101451
Vrouwen,69 jaar,107919,101611,98384,96868,95879,99167,98721,99959,101816,103585,105476,107426,110294,110965,114203,115103,116683,118502,116160,114826,114123,115566,120554,118210,113446,108944,100695,97163,93234,92230,91811,92817,92504,95210,94269,91246,90737,92457,94161,96761,96710,96633,97396,100215
Vrouwen,70 jaar,110066,106551,100311,97150,95677,94745,98023,97612,98865,100730,102505,104406,106361,109229,109911,113155,114065,115659,117482,115181,113880,113207,114651,119629,117311,112596,108138,99955,96455,92566,91584,91178,92189,91889,94591,93666,90663,90165,91884,93592,96193,96153,96082,96849
Vrouwen,71 jaar,78443,108570,105101,98959,95872,94446,93569,96834,96459,97723,99595,101378,103287,105251,108118,108808,112060,112980,114587,116413,114155,112889,112247,113692,118655,116367,111704,107290,99177,95714,91866,90906,90514,91531,91245,93940,93031,90052,89566,91283,92993,95596,95568,95503
Vrouwen,72 jaar,81062,77291,106990,103592,97562,94551,93172,92347,95598,95258,96535,98413,100203,102122,104094,106958,107659,110917,111846,113466,115296,113082,111853,111243,112688,117638,115378,110771,106403,98364,94939,91135,90200,89820,90844,90573,93262,92370,89415,88940,90656,92370,94973,94958
Vrouwen,73 jaar,75862,79779,76069,105336,102019,96105,93172,91838,91067,94301,93997,95286,97172,98972,100898,102877,105739,106450,109713,110652,112285,114121,111954,110762,110186,111632,116567,114340,109792,105474,97514,94128,90372,89461,89097,90126,89871,92554,91681,88752,88290,90004,91720,94323
Vrouwen,74 jaar,69371,74555,78406,74775,103589,100357,94564,91711,90425,89705,92918,92652,93953,95846,97654,99588,101573,104432,105154,108422,109373,111018,112858,110741,109590,109048,110496,115413,113223,108739,104476,96601,93260,89552,88669,88319,89356,89118,91795,90941,88041,87593,89306,91026
Vrouwen,75 jaar,65117,68048,73152,76944,73399,101730,98587,92923,90151,88911,88246,91436,91209,92522,94423,96240,98180,100171,103026,103761,107031,107992,109651,111495,109432,108324,107820,109270,114165,112016,107603,103397,95617,92324,88670,87815,87481,88525,88306,90977,90145,87275,86842,88554
Vrouwen,76 jaar,65903,63751,66622,71645,75379,71923,99734,96682,91153,88467,87276,86667,89833,89649,90974,92881,94707,96654,98651,101501,102250,105518,106491,108164,110013,108009,106947,106482,107935,112807,110703,106365,102224,94546,91305,87710,86886,86570,87622,87424,90086,89280,86444,86029
Vrouwen,77 jaar,62555,64355,62268,65085,70019,73690,70329,97570,94614,89231,86637,85501,84951,88093,87954,89293,91209,93044,94996,96998,99842,100605,103870,104858,106547,108401,106459,105448,105028,106484,111329,109274,105020,100951,93386,90202,86670,85880,85585,86647,86469,89124,88346,85547
Vrouwen,78 jaar,59561,60902,62667,60657,63416,68255,71857,68598,95217,92366,87144,84650,83575,83089,86205,86115,87469,89390,91232,93189,95196,98030,98812,102070,103077,104779,106640,104767,103810,103435,104898,109710,107712,103549,99561,92122,89001,85540,84785,84513,85585,85431,88080,87330
Vrouwen,79 jaar,54463,57767,59088,60823,58900,61600,66336,69863,66719,92661,89925,84879,82493,81487,81065,84150,84109,85477,87400,89248,91208,93218,96040,96842,100089,101114,102829,104696,102898,101996,101674,103143,107916,105982,101917,98020,90720,87672,84289,83572,83326,84408,84281,86922
Vrouwen,80 jaar,52483,52593,55806,57112,58815,56990,59630,64250,67697,64677,89882,87271,82417,80145,79211,78855,81903,81912,83291,85214,87064,89028,91036,93842,94666,97896,98941,100668,102538,100821,99981,99712,101187,105916,104053,100096,96300,89155,86187,82891,82217,81998,83092,82994
Vrouwen,81 jaar,49313,50421,50558,53679,54973,56644,54926,57496,61989,65349,62464,86862,84384,79735,77585,76724,76434,79439,79498,80888,82809,84657,86622,88626,91410,92256,95463,96527,98263,100136,98507,97733,97522,99003,103676,101894,98055,94372,87400,84522,81323,80694,80506,81611
Vrouwen,82 jaar,46871,47089,48184,48356,51382,52661,54300,52689,55184,59535,62794,60054,83568,81231,76802,74780,73998,73773,76727,76839,78239,80151,81996,83955,85953,88707,89576,92750,93834,95578,97450,95917,95213,95063,96549,101157,99462,95756,92200,85422,82643,79552,78973,78817
Vrouwen,83 jaar,43489,44448,44694,45777,45985,48907,50170,51764,50265,52673,56865,60013,57427,79973,77788,73596,71712,71014,70858,73753,73921,75324,77225,79060,81007,82993,85711,86602,89736,90838,92585,94454,93024,92395,92308,93798,98329,96732,93173,89757,83195,80527,77555,77031
Vrouwen,84 jaar,41881,40910,41856,42132,43199,43441,46248,47478,49022,47635,49948,53963,56990,54573,76063,74043,70109,68373,67765,67680,70508,70730,72133,74013,75832,77761,79729,82402,83315,86397,87518,89264,91126,89807,89256,89234,90728,95169,93677,90281,87021,80701,78156,75313
Vrouwen,85 jaar,38107,39033,38171,39100,39407,40452,40724,43394,44584,46065,44798,47008,50829,53724,51488,71832,69988,66333,64754,64242,64228,66975,67249,68645,70496,72292,74195,76137,78754,79688,82706,83842,85581,87429,86229,85761,85806,87299,91636,90257,87039,83950,77899,75490
Vrouwen,86 jaar,35470,35133,36034,35286,36194,36526,37542,37831,40347,41490,42903,41760,43858,47470,50221,48177,67286,65628,62267,60853,60437,60491,63144,63467,64847,66661,68425,70292,72198,74748,75699,78638,79784,81509,83336,82258,81879,81990,83476,87689,86433,83409,80506,74754
Vrouwen,87 jaar,30892,32297,32042,32914,32278,33156,33508,34477,34777,37127,38215,39554,38538,40517,43903,46498,44655,62445,60979,57926,56679,56358,56475,59019,59384,60742,62507,64227,66049,67909,70378,71339,74184,75334,77034,78832,77882,77592,77767,79243,83313,82185,79370,76668
Vrouwen,88 jaar,27403,27733,29042,28860,29695,29168,30009,30365,31277,31583,33753,34779,36037,35152,37000,40141,42568,40934,57320,56049,53313,52234,52004,52178,54594,54997,56319,58022,59688,61451,63251,65623,66588,69319,70466,72130,73887,73069,72868,73104,74560,78464,77471,74883
Vrouwen,89 jaar,23107,24203,24538,25743,25630,26418,25994,26778,27128,27976,28281,30260,31217,32386,31632,33339,36219,38465,37040,51948,50868,48456,47542,47397,47619,49889,50323,51599,53225,54823,56511,58237,60493,61453,64049,65182,66796,68499,67815,67700,67991,69418,73126,72274
Vrouwen,90 jaar,20138,20039,21030,21364,22458,22403,23135,22795,23513,23850,24625,24926,26703,27585,28658,28030,29588,32194,34244,33029,46398,45504,43413,42658,42589,42850,44957,45411,46628,48163,49676,51274,52908,55028,55973,58411,59517,61066,62697,62145,62113,62452,63835,67319
Vrouwen,91 jaar,16861,17112,17065,17948,18273,19250,19242,19900,19635,20280,20598,21297,21586,23159,23960,24931,24424,25824,28147,29992,28977,40776,40057,38278,37672,37670,37960,39887,40351,41494,42924,44336,45828,47356,49323,50239,52498,53564,55031,56574,56148,56191,56569,57893
Vrouwen,92 jaar,14271,14009,14251,14245,15017,15324,16179,16197,16775,16575,17144,17438,18055,18329,19696,20411,21274,20879,22117,24150,25781,24954,35177,34617,33136,32666,32719,33024,34758,35218,36273,37582,38879,40249,41653,43448,44320,46380,47390,48757,50195,49885,49991,50396
Vrouwen,93 jaar,11355,11577,11393,11618,11642,12303,12583,13306,13342,13838,13692,14183,14448,14983,15236,16400,17026,17779,17482,18555,20300,21712,21055,29735,29314,28110,27760,27853,28162,29690,30134,31089,32264,33432,34665,35932,37538,38351,40196,41133,42383,43698,43492,43648
Vrouwen,94 jaar,8633,8981,9181,9057,9260,9302,9854,10095,10691,10735,11150,11049,11462,11695,12148,12375,13345,13881,14524,14310,15218,16683,17878,17370,24577,24274,23319,23071,23190,23488,24807,25222,26066,27097,28125,29211,30328,31736,32475,34092,34942,36060,37236,37117
Vrouwen,95 jaar,6546,6638,6923,7096,7019,7195,7246,7688,7887,8364,8410,8748,8681,9020,9219,9593,9790,10579,11026,11560,11414,12163,13360,14345,13965,19796,19589,18853,18687,18818,19095,20203,20577,21303,22185,23066,23998,24958,26160,26815,28196,28946,29920,30945
Vrouwen,96 jaar,4771,4865,4947,5174,5317,5274,5420,5466,5808,5966,6335,6379,6644,6604,6873,7037,7337,7502,8123,8484,8914,8819,9418,10365,11151,10877,15448,15315,14768,14665,14796,15041,15944,16269,16873,17602,18334,19108,19907,20902,21461,22604,23245,24067
Vrouwen,97 jaar,2861,3409,3486,3554,3727,3841,3820,3932,3970,4223,4344,4619,4657,4858,4836,5042,5172,5403,5536,6007,6287,6620,6563,7022,7744,8348,8158,11609,11531,11141,11084,11204,11411,12118,12387,12871,13451,14035,14654,15293,16086,16545,17456,17981
Vrouwen,98 jaar,1828,1954,2334,2394,2449,2576,2662,2651,2732,2762,2942,3030,3226,3257,3404,3394,3546,3645,3815,3918,4261,4470,4717,4686,5025,5553,5998,5874,8376,8337,8070,8046,8148,8315,8848,9062,9434,9878,10327,10802,11294,11901,12263,12963
Vrouwen,99 jaar of ouder,3111,3118,3214,3529,3782,3993,4225,4437,4574,4721,4843,5046,5244,5509,5714,5956,6123,6347,6576,6859,7133,7562,8007,8489,8813,9280,9972,10764,11242,13288,14684,15488,16058,16557,17053,17800,18503,19289,20185,21163,22222,23353,24619,25813
"� Centraal Bureau voor de Statistiek, Den Haag/Heerlen 11-1-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
